Movie Name,Movie Link
A Man Escaped,https://www.imdb.com/title/tt0049902/
Ugetsu,https://www.imdb.com/title/tt0046478/
Maanaadu,https://www.imdb.com/title/tt4983780/
Umberto D.,https://www.imdb.com/title/tt0045274/
Before the Flood,https://www.imdb.com/title/tt5929776/
Hera Pheri,https://www.imdb.com/title/tt0242519/
Vikram Vedha,https://www.imdb.com/title/tt6148156/
Khosla Ka Ghosla!,https://www.imdb.com/title/tt0466460/
Paan Singh Tomar,https://www.imdb.com/title/tt1620933/
Endless Corridor,https://www.imdb.com/title/tt4573394/
Inside Out,https://www.imdb.com/title/tt2096673/
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/
Jaws,https://www.imdb.com/title/tt0073195/
Gone Girl,https://www.imdb.com/title/tt2267998/
The Help,https://www.imdb.com/title/tt1454029/
Ford v Ferrari,https://www.imdb.com/title/tt1950186/
Logan,https://www.imdb.com/title/tt3315342/
Ratatouille,https://www.imdb.com/title/tt0382932/
Blade Runner,https://www.imdb.com/title/tt0083658/
The Terminator,https://www.imdb.com/title/tt0088247/
Chinatown,https://www.imdb.com/title/tt0071315/
Platoon,https://www.imdb.com/title/tt0091763/
Stand by Me,https://www.imdb.com/title/tt0092005/
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/
Dead Poets Society,https://www.imdb.com/title/tt0097165/
The Handmaiden,https://www.imdb.com/title/tt4016934/
The Exorcist,https://www.imdb.com/title/tt0070047/
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/
The Big Lebowski,https://www.imdb.com/title/tt0118715/
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/
Catch Me If You Can,https://www.imdb.com/title/tt0264464/
The Wizard of Oz,https://www.imdb.com/title/tt0032138/
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/
Fargo,https://www.imdb.com/title/tt0116282/
Trainspotting,https://www.imdb.com/title/tt0117951/
The Sound of Music,https://www.imdb.com/title/tt0059742/
Into the Wild,https://www.imdb.com/title/tt0758758/
The Deer Hunter,https://www.imdb.com/title/tt0077416/
Memories of Murder,https://www.imdb.com/title/tt0353969/
Before Sunrise,https://www.imdb.com/title/tt0112471/
Cool Hand Luke,https://www.imdb.com/title/tt0061512/
Warrior,https://www.imdb.com/title/tt1291584/
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/
Room,https://www.imdb.com/title/tt3170832/
Rocky,https://www.imdb.com/title/tt0075148/
Rush,https://www.imdb.com/title/tt1979320/
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/
Gran Torino,https://www.imdb.com/title/tt1205489/
12 Years a Slave,https://www.imdb.com/title/tt2024544/
The Third Man,https://www.imdb.com/title/tt0041959/
Million Dollar Baby,https://www.imdb.com/title/tt0405159/
Portrait of a Lady on Fire,https://www.imdb.com/title/tt8613070/
In the Mood for Love,https://www.imdb.com/title/tt0118694/
Spotlight,https://www.imdb.com/title/tt1895587/
My Neighbor Totoro,https://www.imdb.com/title/tt0096283/
"Paris, Texas",https://www.imdb.com/title/tt0087884/
Wild Tales,https://www.imdb.com/title/tt3011894/
Barry Lyndon,https://www.imdb.com/title/tt0072684/
Stalker,https://www.imdb.com/title/tt0079944/
Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/
La haine,https://www.imdb.com/title/tt0113247/
A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662/
The Iron Giant,https://www.imdb.com/title/tt0129167/
Raging Bull,https://www.imdb.com/title/tt0081398/
Before Sunset,https://www.imdb.com/title/tt0381681/
Network,https://www.imdb.com/title/tt0074958/
On the Waterfront,https://www.imdb.com/title/tt0047296/
The Seventh Seal,https://www.imdb.com/title/tt0050976/
It Happened One Night,https://www.imdb.com/title/tt0025316/
Ben-Hur,https://www.imdb.com/title/tt0052618/
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/
Amores Perros,https://www.imdb.com/title/tt0245712/
The Man Who Shot Liberty Valance,https://www.imdb.com/title/tt0056217/
Rebecca,https://www.imdb.com/title/tt0032976/
In the Name of the Father,https://www.imdb.com/title/tt0107207/
PK,https://www.imdb.com/title/tt2338151/
Paper Moon,https://www.imdb.com/title/tt0070510/
Neon Genesis Evangelion: The End of Evangelion,https://www.imdb.com/title/tt0169858/
Hotel Rwanda,https://www.imdb.com/title/tt0395169/
Persona,https://www.imdb.com/title/tt0060827/
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/
Bajrangi Bhaijaan,https://www.imdb.com/title/tt3863552/
Three Colors: Red,https://www.imdb.com/title/tt0111495/
Mary and Max,https://www.imdb.com/title/tt0978762/
The Red Shoes,https://www.imdb.com/title/tt0040725/
Lagaan: Once Upon a Time in India,https://www.imdb.com/title/tt0169102/
Free Solo,https://www.imdb.com/title/tt7775622/
Wild Strawberries,https://www.imdb.com/title/tt0050986/
My Octopus Teacher,https://www.imdb.com/title/tt12888462/
All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/
The Wages of Fear,https://www.imdb.com/title/tt0046268/
The Message,https://www.imdb.com/title/tt0074896/
Fanny and Alexander,https://www.imdb.com/title/tt0083922/
Farewell My Concubine,https://www.imdb.com/title/tt0106332/
Ace in the Hole,https://www.imdb.com/title/tt0043338/
Diabolique,https://www.imdb.com/title/tt0046911/
Tokyo Story,https://www.imdb.com/title/tt0046438/
Wolf Children,https://www.imdb.com/title/tt2140203/
To Be or Not to Be,https://www.imdb.com/title/tt0035446/
The 400 Blows,https://www.imdb.com/title/tt0053198/
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/
Inherit the Wind,https://www.imdb.com/title/tt0053946/
The Battle of Algiers,https://www.imdb.com/title/tt0058946/
Yi Yi,https://www.imdb.com/title/tt0244316/
Sunrise,https://www.imdb.com/title/tt0018455/
Blackfish,https://www.imdb.com/title/tt2545118/
The Hidden Fortress,https://www.imdb.com/title/tt0051808/
The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/
Dil Chahta Hai,https://www.imdb.com/title/tt0292490/
Army of Shadows,https://www.imdb.com/title/tt0064040/
The General,https://www.imdb.com/title/tt0017925/
The Twilight Samurai,https://www.imdb.com/title/tt0351817/
A Moment to Remember,https://www.imdb.com/title/tt0428870/
Apollo 11,https://www.imdb.com/title/tt8760684/
Nights of Cabiria,https://www.imdb.com/title/tt0050783/
Rang De Basanti,https://www.imdb.com/title/tt0405508/
The Gold Rush,https://www.imdb.com/title/tt0015864/
Autumn Sonata,https://www.imdb.com/title/tt0077711/
White Heat,https://www.imdb.com/title/tt0042041/
Rififi,https://www.imdb.com/title/tt0048021/
Talvar,https://www.imdb.com/title/tt4934950/
A Wednesday,https://www.imdb.com/title/tt1280558/
Pink,https://www.imdb.com/title/tt5571734/
Major,https://www.imdb.com/title/tt9851854/
Raise the Red Lantern,https://www.imdb.com/title/tt0101640/
Time of the Gypsies,https://www.imdb.com/title/tt0097223/
